row_id,question,context,ground_truth,supported_yes_no,notes
264,Cold knife conization vs. LEEP. Are they the same procedure?,"To prospectively evaluate the amount of tissue removed at loop electrosurgical excision procedure (LEEP) vs. cold knife conization. Forty consecutive LEEP or cold knife conization specimens were prospectively measured and weighed by a single pathology technician. Diameter, length and weight of the specimens were compared using Student's t test. Mean diameter of cold knife cone specimens was 2.6 vs. 2.2 cm for LEEP (P = .07). Mean length of cold knife cone specimens was 1.5 vs. 1.0 cm for LEEP (P = .001). Mean weight for cold knife cone specimens was 4.4 vs. 2.0 g for LEEP (P = .001).","In a prospective evaluation, cold knife cone specimens were 50% longer and 100% heavier than LEEP specimens.",yes,
336,School food policy at Dutch primary schools: room for improvement?,"Schools can play an important role in the prevention of obesity, e.g. by providing an environment that stimulates healthy eating habits and by developing a food policy to provide such an environment. The effectiveness of a school food policy is affected by the content of the policy, its implementation and its support by parents, teachers and principals. The aim of this study is to detect opportunities to improve the school food policy and/or implementation at Dutch primary schools. Therefore, this study explores the school food policy and investigates schools' (teachers and principals) and parents' opinion on the school food policy. Data on the schools' perspective of the food policy was collected from principals and teachers by means of semi-structured interviews. In total 74 principals and 72 teachers from 83 Dutch primary schools were interviewed. Data on parental perceptions about the school food policy were based on a cross-sectional survey among 1,429 parents from the same schools. Most principals (87.1%) reported that their school had a written food policy; however in most cases the rules were not clearly defined. Most of the principals (87.8%) believed that their school paid sufficient attention to nutrition and health. Teachers and principals felt that parents were primarily responsible to encourage healthy eating habits among children, while 49.8% of the parents believed that it is also a responsibility of the school to foster healthy eating habits among children. Most parents reported that they appreciated the school food policy and comply with the food rules. Parents' opinion on the enforcement of the school food policy varied: 28.1% believed that the school should enforce the policy more strongly, 32.1% was satisfied, and 39.8% had no opinion on this topic.","Dutch primary schools could play a more important role in fostering healthy eating habits among children. The school food policy could be improved by clearly formulating food rules, simplifying supervision of the food rules, and defining how to enforce the food rules. In addition, the school food policy will only influence children's dietary behaviour if both the school and the parents support the policy.",no,
350,Birth characteristics and risk of low intellectual performance in early adulthood: are the associations confounded by socioeconomic factors in adolescence or familial effects?,"In this study we investigated whether the association between measures of fetal growth restriction and intellectual performance was mediated by socioeconomic or familial factors. This was a population-based cohort study of 357,768 Swedish males born as singletons without congenital malformations between 1973 and 1981. The main outcome measure was intellectual performance at military conscription. Compared with men born with appropriate birth weight for gestational age, men born light for gestational age suffered an increased risk of low intellectual performance after adjustment for maternal and socioeconomic factors. The increase in risk of low intellectual performance related to a decrease in birth weight for gestational age was similar between families and within families. Men born short or with a small head circumference for gestational age were also at increased risk of low intellectual performance, both when adjusting for maternal and socioeconomic factors and within families.",We found that all of the studied dimensions of restricted fetal growth are independently associated with increased risks of low intellectual performance and that these associations are only partly mediated by socioeconomic or familial factors.,no,
354,Do symptoms matter when considering patients for phase I clinical trials?,"Older adults (OA) with advanced cancer (AC) undergoing phase I clinical trials (PICT) have poor prognosis. There are no studies which describe symptoms experienced by OA. Retrospective chart review of PICT participants>60 years. OA were compared by age (>65 vs 60-65) and by number of symptoms (>3 vs ≤3). N = 56. Mean age = 67.09; 48.21% female. Median life-expectancy = 5 months (interquartile range = 2-9 months); 80.36% had pain; of those 64% without pain scale. Most did not have interdisciplinary professionals or hospice referrals. Older adults with>3 symptoms had more admissions (37.5% vs 14.29%; P = .0335), complications (46.43% vs 16.07%; P = .0026), and greater decline in functional status (24 participants>3 symptoms vs 8; P = .0173). There were no significant differences comparing OA by age.",Older adults enrolled in PICT with more symptoms may sacrifice QOL for experimental treatment.,no,
365,Is there an intrauterine influence on obesity?,"It has been suggested that increasing obesity levels in young women lead to intrauterine environments that, in turn, stimulate increased obesity among their offspring, generating an intergenerational acceleration of obesity levels. If this mechanism is important, the association of maternal body mass index (BMI) with offspring BMI should be stronger than the association of paternal with offspring BMI. To compare the relative strengths of association of maternal and paternal BMI with offspring BMI at age 7.5, taking into account the possible effect of non-paternity. We compared strength of association for maternal-offspring and paternal-offspring BMI for 4654 complete parent-offspring trios in the Avon Longitudinal Study of Parents and Children (ALSPAC), using unstandardised and standardised regression analysis. We carried out a sensitivity analysis to investigate the influence of non-paternity on these associations. The strength of association between parental BMI and offspring BMI at age 7.5 was similar for both parents. Taking into account correlations between maternal and paternal BMI, performing standardised rather than unstandardised regression and carrying out a sensitivity analysis for non-paternity emphasised the robustness of the general similarity of the associations. The associations between high parental BMI (top decile) and offspring BMI are also similar for both parents.",Comparison of mother-offspring and father-offspring associations for BMI suggests that intergenerational acceleration mechanisms do not make an important contribution to levels of childhood BMI within the population. Associations at later ages and for different components of body composition now require study.,no,
369,Cutaneous melanoma in a multiethnic population: is this a different disease?,"Cutaneous melanoma in nonwhite persons has a manifestation and a prognosis that are different than those of cutaneous melanoma in white persons. Case series. Tertiary care university-affiliated community medical center located in a multiethnic state in which white persons are a minority of the population. Consecutive series of 357 patients with melanoma seen between January 1994 and August 2003. Ethnicity, age, sex, primary site, tumor thickness, nodal status, stage at diagnosis, and survival. There were 208 men and 149 women who ranged in age from 15 to 93 years (mean, 58 years). Twenty-two patients initially had unknown primary sites. Of these 357 patients, 67 (18.7%) were nonwhite. There was no statistically significant difference in the age (P =.10) or sex (P =.57) distribution of these 2 populations. Nonwhite patients at initial diagnosis had thicker tumors (P =.002), more frequently had ulcerated primary tumors (P<.001), more frequently had positive nodes (P =.004), and were at a more advanced stage (P =.002) than their white counterparts. The anatomic distribution between the 2 populations was significantly different (P<.001), with a high incidence of melanoma on the sole and subungual locations and a substantially less frequent occurrence on the head and neck, trunk, and extremities in the nonwhite population when compared with the white population. The overall survival rate of the nonwhite patients was significantly worse than that of the white patients, but when stratified by stage at initial diagnosis, there was no difference in outcome.","In a multiethnic population, cutaneous melanoma in nonwhite persons is unusual but not rare. Although the diagnoses are distinctly different at initial examinations, suggesting a potential biological component, stage-for-stage outcomes are similar between white and nonwhite persons and suggest a need for early diagnostic interventions with unusual pigmented lesions in nonwhite persons.",no,
418,Evaluation of pediatric VCUG at an academic children's hospital: is the radiographic scout image necessary?,"There is heterogeneity in how pediatric voiding cystourethrography (VCUG) is performed. Some institutions, including our own, obtain a radiographic scout image prior to contrast agent instillation. To demonstrate that the radiographic scout image does not augment VCUG interpretation or contribute management-changing information but nonetheless carries a non-negligible effective dose. We evaluated 181 children who underwent VCUG in 2012, with an age breakdown of less than 1 year (56 children), 1-5 years (66 children), 6-10 years (43 children) and 11-18 years (16 children), with a mean age of 4.0 years. We investigated patient demographics, clinical indication for the examination, scout image findings and estimated effective radiation dose, as well as overall exam findings and impression. No clinically significant or management-changing findings were present on scout images, and no radiopaque urinary tract calculi or concerning incidental finding was identified. Scout image estimated effective radiation dose averaged 0.09 mSv in children younger than 1 y, 0.09 mSv in children age 1-5, 0.13 mSv in children age 6-10 and 0.18 mSv in children age 11-18. Total fluoroscopy time per examination averaged 36.7 s (range 34.8-39.6 s for all age group averages). Evaluation of known or suspected vesicoureteral reflux (VUR) and urinary tract infection (UTI) were the most common clinical indications, stated in 40.9% and 37.0% of exams, respectively.","Although the estimated effective dose is low for VCUG radiographic scout images, this step did not augment VCUG interpretation or contribute management-changing information. This step should be omitted or substituted to further reduce dose in pediatric VCUG.",no,
426,Has the mammography quality standards act affected the mammography quality in North Carolina?,"The United States Food and Drug Administration implemented federal regulations governing mammography under the Mammography Quality Standards Act (MQSA) of 1992. During 1995, its first year in implementation, we examined the impact of the MQSA on the quality of mammography in North Carolina. All mammography facilities were inspected during 1993-1994, and again in 1995. Both inspections evaluated mean glandular radiation dose, phantom image evaluation, darkroom fog, and developer temperature. Two mammography health specialists employed by the North Carolina Division of Radiation Protection performed all inspections and collected and codified data. The percentage of facilities that met quality standards increased from the first inspection to the second inspection. Phantom scores passing rate was 31.6% versus 78.2%; darkroom fog passing rate was 74.3% versus 88.5%; and temperature difference passing rate was 62.4% versus 86.9%.","In 1995, the first year that the MQSA was in effect, there was a significant improvement in the quality of mammography in North Carolina. This improvement probably resulted from facilities' compliance with federal regulations.",no,
450,Does occupational nuclear power plant radiation affect conception and pregnancy?,"To determine the effect of occupational exposure in a nuclear power plant in Griefswald, Germany on male and female fecundity. The frequency of men and women exposed to ionizing radiation through work in a nuclear power plant among 270 infertile couples was retrospectively compared to a control fertile population using a pair-matched analysis. The total cumulative equivalent radiation dose was determined. In addition, the spermiograms of the male partners in both groups were compared and correlated to the degree of exposure. No differences were noted in the frequency of nuclear power plant exposure between sterile and fertile groups. There was a higher rate of anomalous spermiograms in nuclear power plant workers. However, abnormalities were temporary. No correlation was found between the cumulative equivalent radiation dose and abnormal spermiograms.",The data suggest that occupational exposure due to ionizing radiation should be investigated as a possible cause for involuntary temporary sterility and as a risk factor for early pregnancy disorders.,no,
466,An HIV1/2 point of care test on sputum for screening TB/HIV co-infection in Central India - Will it work?,"To determine whether the OraQuick® HIV-1/2 Assay (OraSure Technologies, Inc., Bethlehem, PA, USA) in sputum is a valid tool for HIV surveillance among TB patients. A cross sectional study was carried out on sputa of patients diagnosed with tuberculosis. Sputa were tested for antibodies to HIV using OraQuick® HIV-1/2 Assay (OraSure Technologies, Inc., Bethlehem, PA, USA). The results were compared with results of serum ELISA. Compared to serum ELISA, the OraQuick® HIV-1/2 Assay in sputum specimens reported 90% sensitivity (9/10) and 100% specificity (307/307), with a positive predictive value of 100% (95%CI: 66.37%-100.00%) and a negative predictive value of 99.68% (95%CI: 98.20%-99.99%).","This testing method may provide a useful strategy for conducting HIV surveillance in possible co-infected TB patients at peripheral centres. Since there is no investment on infrastructure, it may be possible for paramedical health professionals to carry out the test, particularly in areas with low HIV endemicity.",no,
467,Do inhaled corticosteroids affect perception of dyspnea during bronchoconstriction in asthma?,"Some of the disagreements on the perception of dyspnea (PD) during bronchoconstriction in asthma patients could depend on the interrelationships among the following: (1) the influence of baseline airflow obstruction on the patient's ability to detect any further increase in airway resistance; (2) the effect of eosinophilic inflammation on the airway; (3) bronchial hyperresponsiveness (BHR); and (4) the effect of inhaled corticosteroids (ICSs). We hypothesized that if the inflammation of the airway wall influences to some extent and in some way the PD in asthma patients, ICSs reverse the effect of airway inflammation on the PD. We studied 100 asthma patients who were divided into the following four groups: patients with obstruction who were either ICS-naive (group I) or were treated with ICSs (group II); and nonobstructed patients who were either ICS-naive (group III) or were treated with ICSs (group IV). PD on the visual analog scale (VAS) was assessed during a methacholine-induced FEV(1) decrease and specifically was quantified as the VAS slope and score at an FEV(1) decrease of 5 to 20%. BHR was assessed in terms of the provocative concentration of methacholine causing a 20% fall in FEV(1) (PC(20)). Eosinophil counts in induced sputum samples also were performed. Regression analysis, univariate analysis of variance, and factor analysis were applied for statistical evaluation. For a 5 to 20% fall in FEV(1) from the lowest point after saline solution induction, VAS score was lowest in group II, slightly higher in group I, slightly higher still in group IV, and the highest in group III. In the patients as a whole, BHR related to PD, but age, clinical score, duration of the disease, and presence of baseline airway obstruction did not. In patients with obstruction who were treated with ICSs, eosinophil counts related to PD negatively. Factor analysis yielded the following four factors that accounted for 70% of the variance in the data: ICS; eosinophil counts; FEV(1); and PC(20) loaded on separated factors with PD loading on the same factors as PC(20). The post hoc analysis carried out dividing the patients into ICS-treated and ICS-naive, showed that in the former group eosinophil counts and BHR proved to be factors negatively associated with PD, while in the latter group eosinophil counts were positively associated with PD.",We have shown that eosinophilic inflammation of the airway wall may increase PD and that the association of eosinophil counts with ICSs may result in lessening the PD.,yes,
476,Can routine offering of influenza vaccination in office-based settings reduce racial and ethnic disparities in adult influenza vaccination?,"Influenza vaccination remains below the federally targeted levels outlined in Healthy People 2020. Compared to non-Hispanic whites, racial and ethnic minorities are less likely to be vaccinated for influenza, despite being at increased risk for influenza-related complications and death. Also, vaccinated minorities are more likely to receive influenza vaccinations in office-based settings and less likely to use non-medical vaccination locations compared to non-Hispanic white vaccine users. To assess the number of ""missed opportunities"" for influenza vaccination in office-based settings by race and ethnicity and the magnitude of potential vaccine uptake and reductions in racial and ethnic disparities in influenza vaccination if these ""missed opportunities"" were eliminated. National cross-sectional Internet survey administered between March 4 and March 14, 2010 in the United States. Non-Hispanic black, Hispanic and non-Hispanic white adults living in the United States (N = 3,418). We collected data on influenza vaccination, frequency and timing of healthcare visits, and self-reported compliance with a potential provider recommendation for vaccination during the 2009-2010 influenza season. ""Missed opportunities"" for seasonal influenza vaccination in office-based settings were defined as the number of unvaccinated respondents who reported at least one healthcare visit in the Fall and Winter of 2009-2010 and indicated their willingness to get vaccinated if a healthcare provider strongly recommended it. ""Potential vaccine uptake"" was defined as the sum of actual vaccine uptake and ""missed opportunities."" The frequency of ""missed opportunities"" for influenza vaccination in office-based settings was significantly higher among racial and ethnic minorities than non-Hispanic whites. Eliminating these ""missed opportunities"" could have cut racial and ethnic disparities in influenza vaccination by roughly one half.",Improved office-based practices regarding influenza vaccination could significantly impact Healthy People 2020 goals by increasing influenza vaccine uptake and reducing corresponding racial and ethnic disparities.,yes,
483,Gender difference in survival of resected non-small cell lung cancer: histology-related phenomenon?,"It remains controversial whether there is a gender difference in survival of patients with resected non-small cell lung cancer. We retrospectively analyzed 2770 patients (1689 men and 1081 women) with non-small cell lung cancer who underwent pulmonary resection between 1995 and 2005 at the National Cancer Center Hospital, Tokyo. A gender difference in survival was studied in all patients, in those divided according to histology or pathologic stage, and in propensity-matched gender pairs. There were no differences in background, such as preoperative pulmonary function, operation procedures, or operative mortality. The proportions of adenocarcinoma and pathologic stage I in women were greater than those in men (93.6% vs 61.7% and 71.4% vs 58.6%, respectively) (P<.001). Overall 5-year survival of women was better than that of men (81% vs 70%, P<.001). In adenocarcinoma, the overall 5-year survival for women was better than that for men in pathologic stage I (95% vs 87%, P<.001) and in pathologic stage II or higher (58% vs 51%, P = .017). In non-adenocarcinoma, there was no significant gender difference in survival in pathologic stage I (P = .313) or pathologic stage II or higher (P = .770). The variables such as age, smoking status, histology, and pathologic stage were used for propensity score matching, and survival analysis of propensity score-matched gender pairs did not show a significant difference (P = .69).","Women had better survival than men; however, there was no survival advantage in propensity-matched gender pairs. A gender difference in survival was observed only in the adenocarcinoma subset, suggesting pathobiology in adenocarcinoma in women might be different from that of men.",no,
496,Is intrapartum vibroacoustic stimulation an effective predictor of fetal acidosis?,"The hypothesis of this prospective study is that intrapartum vibroacoustic stimulation (VAS) is an effective predictor of fetal acidosis during labor. Various clinical conditions, such as term versus preterm gestation, first stage versus second stage of labor, and fetal heart rate (FHR) variable decelerations versus late decelerations will be tested. During the study period, 113 patients were studied prospectively in either active phase of first stage (n = 53) or during the second stage of labor (n = 60). They were selected from cases exhibiting moderate to severe FHR variable decelerations or late decelerations. The fetuses of study subjects received a VAS for three seconds and FHR changes were recorded. Fetal scalp blood pH or umbilical arterial blood pH was obtained within 15 minutes of VAS. The relationship between FHR responses to VAS and fetal blood pH in term and preterm gestations, the relationship of two tests (VAS and fetal blood pH) to type of FHR decelerations, and the predictability of neonatal morbidity by two tests were analyzed. Where appropriate, Fisher's exact test (p<0.05 was considered statistically different) and the odd ratio with 95% confidence intervals were used for statistical analyses. Excellent association between acceleration response to VAS and pH>or = 7.20, and between a negative response to VAS (no acceleration or decelerations) and pH<7.20 were found in the first stage of labor, the second stage of labor, and the combination of both stages together (p = 0.0001, OR = 10.6 [3.3-34.0]). It was observed that negative VAS responses for predicting fetal acidosis (pH<7.20) were comparable between term (>or = 37 weeks) and preterm (<37 weeks,>or = 34 weeks) fetuses. Since the preterm fetuses enrolled in the study were limited in number, it is difficult to draw adequate conclusions. The positive predictive value (PPV) of fetal acidosis was 67% in both groups of FHR variable decelerations and late decelerations, but the false negative rate of acceleration VAS response for predicting no acidosis was significantly higher in the group of late decelerations (29% vs 8%, p = 0.034). Finally, both a negative VAS response and fetal acidosis (pH<7.20) have equal predictability for neonatal morbidity. The PPV of NICU admission by a negative VAS response was two times higher than that of fetal acidosis (PPV = 61% vs 29%, p = 0.038).","We found that intrapartum VAS was an effective predictor of fetal acidosis in cases of FHR variable decelerations, but its predictability for fetal acidosis in cases of FHR late decelerations was limited. Both VAS and fetal blood pH are good predictors of neonatal morbidity.",yes,
